id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
26384,0.0,1.0,0.0,0.0,0.0,0.4459457099437713,0.4952686131000519,0.46500733494758606,0.41252519687016803,0.5171094536781311,0.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2,0.46717126170794165,0.5333333333333333,Talk360,30000000.0,operational,26384,8.4,48.0
30928,0.0,0.0,,,0.1111111111111111,0.4491998354593913,0.7185847560564677,,,0.6306760840945773,0.3333333333333333,1.0,,,0.6666666666666666,0.037037037037037035,0.5994868918701454,0.6666666666666666,Veylinx,10000000.0,operational,30928,2.0,27.0
30970,0.3333333333333333,0.3333333333333333,,,0.0,0.5411146283149719,0.5047724843025208,,,0.5354084405634139,0.3333333333333333,0.6666666666666666,,,0.6666666666666666,0.2222222222222222,0.5270985177269688,0.5555555555555555,Office App,23650000.0,acquired,30970,4.73,3.0
31679,0.0,0.0,,,0.0,0.5626649856567383,0.5259262919425964,,,0.5846422264973322,1.0,1.0,,,0.6666666666666666,0.0,0.5577445013655556,0.8888888888888888,Matterway,18700000.0,operational,31679,3.74,28.0
31811,0.0,0.0,,,0.3333333333333333,0.547010749578476,0.5311243534088135,,,0.7615227997303009,0.5,1.0,,,0.8333333333333334,0.1111111111111111,0.6132193009058634,0.7777777777777778,CluedIn,75000000.0,operational,31811,16.01,41.0
33785,0.0,0.0,,,0.0,0.5248497128486633,0.5707049369812012,,,0.7044154405593872,1.0,1.0,,,0.6666666666666666,0.0,0.5999900301297506,0.8888888888888888,Roadmap,22000000.0,acquired,33785,4.4,3.0
33847,1.0,1.0,,,0.0,0.5087795853614807,0.5199046730995178,,,0.7102747360865275,0.0,1.0,,,1.0,0.6666666666666666,0.5796529981825086,0.6666666666666666,ZIVVER,75900000.0,acquired,33847,26.14,99.0
72299,0.0,0.0,,,0.6666666666666666,0.3484414219856262,0.6458669900894165,,,0.5464978416760763,0.0,1.0,,,0.6666666666666666,0.2222222222222222,0.5136020845837064,0.5555555555555555,LessonUp,1925000.0,operational,72299,0.5,66.0
72625,0.0,0.0,,0.3333333333333333,0.0,0.4524511992931366,0.3089252710342407,,0.2711680084466934,0.4035160094499588,0.0,0.0,,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.3590151220560074,0.16666666666666666,MX3D,38500000.0,operational,72625,12.21,49.0
74650,0.0,0.0,,,0.6666666666666666,0.4973059296607971,0.5397605299949646,,,0.6967864632606506,0.0,1.0,,,0.6666666666666666,0.2222222222222222,0.5779509743054708,0.5555555555555555,Resolution Games,125000000.0,operational,74650,38.5,126.0
