id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
6684,0.0,1.0,0.0,,0.0,0.7290467321872711,0.7903003692626953,0.2583546979973713,,0.3967345121006171,0.5,1.0,0.0,,0.3333333333333333,0.25,0.5436090778869886,0.4583333333333333,Appsco,2500000.0,operational,6684,1.0,31.0
6862,0.0,0.0,,,0.0,0.3496127426624298,0.4346284866333008,,,0.256637970606486,0.0,1.0,,,0.3333333333333333,0.0,0.34695973330073887,0.4444444444444444,Creagent,440000.0,operational,6862,0.09,1.0
20181,0.16666666666666666,1.0,0.0,0.0,0.6666666666666666,0.5786291708548864,0.8772770166397095,0.3571041433347596,0.3809841891957654,0.4693162242571513,0.16666666666666666,1.0,0.2777777777777778,0.3888888888888889,0.3888888888888889,0.3666666666666667,0.5326621488564545,0.4444444444444445,24Sessions,5500000.0,acquired,20181,1.56,2.0
20802,0.0,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6194847971200943,0.6552355289459229,0.352183644970258,0.25197386907206637,0.368410633256038,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.35,0.4494576946728759,0.4333333333333333,JobUFO,11000000.0,operational,20802,2.2,21.0
22876,0.2,0.2,,,,0.764265263080597,0.8785022735595703,,,,0.2,1.0,,,,0.2,0.8213837683200836,0.6,Myobis,8250000.0,acquired,22876,3.3,
24347,0.0,0.8571428571428571,0.3333333333333333,0.38095238095238093,,0.5699213785784585,0.5018629133701324,0.5048943046066496,0.47362616871084484,,0.14285714285714285,0.42857142857142855,0.5555555555555556,0.6190476190476191,,0.39285714285714285,0.5125761913165213,0.4365079365079365,Monoqi,33000000.0,acquired,24347,6.6,
26384,0.0,0.3333333333333333,0.0,0.0,0.0,0.21145747741684315,0.19834958893867827,0.47934521238009137,0.37283919254938763,0.40322384238243103,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3330430627334863,0.3333333333333333,Talk360,30000000.0,operational,26384,8.4,48.0
27798,0.0,0.0,,,0.3333333333333333,0.30019146800041197,0.20222018584609028,,,0.3573031259907616,0.0,0.6,,,0.3333333333333333,0.1111111111111111,0.28657159327908793,0.3111111111111111,The Cirqle,5500000.0,operational,27798,1.1,13.0
27895,0.0,0.4444444444444444,0.0,0.0,0.0,0.3911146493628621,0.4291511983351989,0.4885261630018552,0.46181856095790863,0.4396120284994443,0.0,0.6666666666666666,0.5833333333333334,0.5,0.4444444444444444,0.08888888888888888,0.44204452003145384,0.43888888888888894,Datapath.io,5500000.0,operational,27895,1.22,1.0
28230,0.0,0.0,,,1.0,0.4470622837543487,0.6347408294677734,,,0.5075323979059855,0.0,1.0,,,0.6666666666666666,0.3333333333333333,0.5297785037093692,0.5555555555555555,Ligo,2750000.0,acquired,28230,0.55,54.0
30026,0.0,1.0,0.08333333333333333,0.0,0.6666666666666666,0.5644242018461227,0.8431629985570908,0.5134976282715797,0.5149507895112038,0.7032956133286158,0.5,1.0,0.5,0.5833333333333334,0.6666666666666666,0.35,0.6278662463029225,0.65,Dashmote,28050000.0,operational,30026,8.88,37.0
30027,1.0,1.0,,,1.0,0.4846586287021637,0.6317851543426514,,,0.5713840126991272,0.0,1.0,,,0.6666666666666666,1.0,0.5626092652479807,0.5555555555555555,Recruitee,550000.0,acquired,30027,0.11,16.0
30512,0.0,0.0,,,0.0,0.18875068165361875,0.19439858379773794,,,0.3003097424904505,0.0,0.4,,,0.0,0.0,0.22781966931393574,0.13333333333333333,Jobado,3300000.0,operational,30512,0.66,1.0
30536,0.0,1.0,0.25,0.25,0.3333333333333333,0.597405269742012,0.8598655760288239,0.49365344146887463,0.5283960352341334,0.5842282275358835,0.25,1.0,0.5,0.5833333333333334,0.6666666666666666,0.36666666666666664,0.6127097100019455,0.6,Polarsteps,16500000.0,operational,30536,4.84,104.0
30928,0.0,0.0,,,,0.03320327331311995,0.0087948046275414,,,,0.0,0.0,,,,0.0,0.020999038970330675,0.0,Veylinx,10000000.0,operational,30928,2.0,27.0
30970,0.0,0.0,,,0.0,0.5840995957454046,0.5147203732437143,,,0.5682733871042729,0.5,0.8333333333333334,,,0.6,0.0,0.5556977853644639,0.6444444444444445,Office App,23650000.0,acquired,30970,4.73,3.0
31679,0.0,0.5,,,0.6666666666666666,0.26322373840957874,0.3561341497115791,,,0.6017292737960815,0.0,0.5,,,0.6666666666666666,0.38888888888888884,0.4070290539724131,0.38888888888888884,Matterway,18700000.0,operational,31679,3.74,28.0
31811,0.0,0.4,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.38321105353534224,0.4170935244299471,0.7005825042724609,0.7105809450149536,0.7339398397339715,0.0,0.6,0.8333333333333334,1.0,0.8888888888888888,0.45777777777777773,0.5890815733973351,0.6644444444444445,CluedIn,75000000.0,operational,31811,16.01,41.0
31829,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.6784157156944275,0.8697068929672241,0.5019882063070933,0.5203008383512497,0.5652342577775319,0.2,1.0,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.6271291822195053,0.5733333333333333,Authenteq,25000000.0,acquired,31829,8.44,9.0
33745,0.0,0.4,0.0,0.0,0.3333333333333333,0.3299351468682289,0.40636413134634497,0.5076172947883606,0.4483905831972758,0.6356001959906684,0.0,0.6,0.5,0.5,1.0,0.14666666666666667,0.46558147043817577,0.52,GreenHome,3300000.0,operational,33745,0.66,48.0
33785,0.5,0.5,,,0.0,0.44365896843373775,0.5638728477060795,,,0.6876750058597989,0.25,0.75,,,0.7777777777777778,0.3333333333333333,0.5650689406665387,0.5925925925925926,Roadmap,22000000.0,acquired,33785,4.4,3.0
33847,0.0,1.0,1.0,0.6666666666666666,1.0,0.4127425253391266,0.4665856957435608,0.4502529303232829,0.5293843348821005,0.4837774336338043,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.7333333333333333,0.468548583984375,0.5999999999999999,ZIVVER,75900000.0,acquired,33847,26.14,99.0
